Pdiff-wave time shift, Sdiff-wave time shift, Source lattitude,            Source longitude, Receiver lattitude, Receiver longitude,            Midpoint lattitude, Midpoint longitude
-11.7,-11.8,-41.43,79.99,-16.2879,-68.1307,-61.6578157092,-17.3125476816
-10.6,-2.3,-15.31,-175.38,41.6677,-73.8955,20.1815445403,-133.455092379
-11.2,-2.8,-15.31,-175.38,42.4481,-74.9301,20.5289324571,-134.218886291
-9.0,-0.6,-31.06,-71.42,-21.1712,55.7399,-47.7919306782,-2.97464691723
-11.2,-4.0,-15.78,-179.19,82.5033,-62.35,38.4903919809,-171.835571088
-11.4,-1.1,-15.78,-179.19,78.9256,11.9417,42.6889508271,178.062633623
-11.6,-1.1,-15.78,-179.19,78.9154,11.9385,42.6939432871,178.060303933
-10.7,-2.3,-15.78,-179.19,74.6892,-94.8962,34.2602642498,-164.283047799
27.25,-0.7,-15.49,-179.15,8.8839,-70.634,-5.66856350929,-123.902797297
-10.4,-2.9,-15.49,-179.15,40.6358,-77.8876,19.27960385,-136.744334387
-11.4,-4.0,52.76,-33.78,-51.6753,-58.0637,0.558306684073,-46.0721770277
26.35,-12.0,-4.54,129.05,40.4592,-108.02,33.5373358969,176.668220537
25.6,-10.8,-4.54,129.05,40.8731,-108.291,33.7196060678,176.307612873
25.5,-10.7,-4.54,129.05,40.8634,-108.482,33.6381166502,176.272702453
26.55,-9.2,-4.54,129.05,35.9452,-120.542,26.090259195,175.790760423
26.25,-8.6,-4.54,129.05,36.764,-121.447,26.4322913953,175.066427413
25.6,-11.3,-4.54,129.05,40.7217,-108.303,33.6096038346,176.415124463
27.75,-7.6,-4.54,129.05,32.3098,-110.785,26.2700312432,-178.996512898
25.7,-10.6,-4.54,129.05,40.9284,-108.648,33.6184984798,176.188858548
26.75,-9.3,-4.54,129.05,40.5799,-122.541,28.780574794,172.667270276
-7.4,5.6,-43.26,41.81,55.3167,-3.205,6.55293772171,22.2092927608
5.9,-13.5,-17.6,-65.2,37.8433,30.5093,14.8909751496,-23.2469644647
10.8,0.5,-17.6,-65.2,78.9154,11.9385,33.9848102654,-54.5259491948
5.8,-9.2,-17.6,-65.2,54.9595,37.7664,27.5388158525,-31.00729714
6.8,-8.3,-17.6,-65.2,55.1146,36.5674,27.3658788146,-31.377740655
6.9,-7.8,-17.6,-65.2,54.0125,23.1808,24.1953995638,-33.9708887908
-11.2,-12.8,17.08,148.4,42.354,13.405,55.0654351142,98.0296277092
-10.6,-7.6,-29.56,-71.97,42.354,13.405,8.69438945496,-33.5626252542
26.45,-11.0,1.0,125.98,50.2236,8.4489,41.1417627048,87.0778529043
-20.6,-17.7,-21.38,169.45,39.5165,75.9243,13.1172314112,128.370579176
-4.7,17.8,-40.88,-75.44,-21.1712,55.7399,-54.9234236604,3.08036636812
-15.7,-6.7,-15.75,-173.62,-22.9681,-50.3778,-36.5850325114,-114.34184381
-5.0,27.65,-7.06,105.54,40.6358,-77.8876,65.8393101661,116.42271566
